# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	525
#@/user_id	af4251e3-7603-416e-8421-a398478b49bc
a 	啊	c=2 d=1.7291 t=525
an jian 	按键	c=1 d=0.900325 t=525
an zhuang 	安装	c=4 d=3.3593 t=525
ba 	吧	c=1 d=0.822835 t=525
ban 	班	c=2 d=1.66698 t=525
ban ben 	版本	c=1 d=0.970446 t=525
bang 	帮	c=1 d=0.843665 t=525
bang ding 	绑定	c=1 d=1 t=521
bao cuo 	报错	c=4 d=3.85951 t=525
bi 	比	c=3 d=2.70377 t=525
bi ji ben 	笔记本	c=1 d=0.923116 t=525
bian kuang 	边框	c=2 d=1.96042 t=525
bie ming 	别名	c=1 d=0.941765 t=525
bing 	并	c=3 d=2.60724 t=525
bu 	不	c=2 d=1.61566 t=525
bu neng 	不能	c=3 d=2.27066 t=525
bu ran 	不然	c=1 d=0.965605 t=525
bu tong 	不同	c=2 d=1.89776 t=525
cai 	才	c=1 d=0.798516 t=525
can shu 	参数	c=1 d=0.980199 t=525
cha bie 	差别	c=1 d=0.980199 t=525
cha dao 	查到	c=1 d=0.802519 t=525
cha kan 	查看	c=1 d=0.960789 t=525
cha xun 	查询	c=1 d=0.985112 t=525
chao 	吵	c=1 d=0.83527 t=525
che 	车	c=1 d=0.690734 t=525
cheng 	城	c=1 d=0.980199 t=525
cheng 	成	c=2 d=1.89356 t=525
chi dao 	迟到	c=2 d=1.64545 t=525
chu kong ban 	触控板	c=1 d=0.985112 t=525
chu li 	处理	c=3 d=2.46146 t=525
chu men 	出门	c=1 d=0.946485 t=525
chuang jian 	创建	c=1 d=0.995012 t=525
da 	打	c=1 d=0.856415 t=525
da xie 	大写	c=1 d=0.99005 t=525
dai 	带	c=1 d=0.955997 t=525
dai biao 	代表	c=3 d=2.55762 t=525
dai hao 	代号	c=1 d=0.932394 t=525
dai ma 	代码	c=1 d=0.980199 t=525
dang qian 	当前	c=2 d=1.88872 t=525
dang ran 	当然	c=1 d=0.806541 t=525
dao 	到	c=4 d=2.83352 t=525
dao ru 	导入	c=1 d=0.995012 t=525
